FID,OBJECTID_1,OBJECTID,Shape_Leng,Notes,Station_Nu,AlbsAreaK2,ID,Station__1,Site_Name,Jurisdicti,Purpose,Cat_Area__,Latitude,Longitude,ID_1,Station__2,OID_,OBJECT_ID,STATION__3,Shape_Le_1,Shape_Area,StationID,GaugeName,RiverName,State,InsideNest,Downstr_1,Downstr_2,Downstr_3,Downstr_4,Downstr_5,WrscID,DateOpen,GaugeLat,GaugeLon,CentrLat,CentrLon,ElevMin,ElevMax,ElevMean,SlopeRange,SlopeMean,MeanP,MeanETP,AI,Irrigation,Intensive,Forest,Whpk1_Mean,Whpk2_Mean,Kspk1_Mean,Kspk2_Mean,Cal_Val
10,11,7,0.524999999000000, ,112102A,77.799999999999997,68.000000000000000,112102A,Liverpool Creek at Upper Japoonvale,QLD,HQSRS,77.799999999999997,-17.715199999999999,145.905208299999998,68.000000000000000,112102A,56,56.000000000000000,112102A,0.524999994455000,0.006624999993760,112102, Upper Japoonvale,Liverpool Creek,QLD, ,0,0,0,0,0,112102A,1970-05-25,-17.710000000000001,145.909999999999997,-17.724299999999999,145.854000000000013,34.602600000000002,882.822000000000003,300.098999999999990,28.976400000000002,10.391299999999999,3262.508100000000013,1751.503200000000106,0.536900000000000,0.396700000000000,0.000000000000000,0.543700000000000,40.383600000000001,143.198000000000008,287.692000000000007,97.787899999999993,1
11,12,8,0.549999999000000, ,113004A,95.500000000000000,69.000000000000000,113004A,Cochable Creek at Powerline,QLD,HQSRS,95.500000000000000,-17.739599999999999,145.628749999999997,69.000000000000000,113004A,57,57.000000000000000,113004A,0.549999996203000,0.008131250012240,113004, Powerline,Cochable Creek,QLD, ,0,0,0,0,0,113004A,1966-12-21,-17.739599999999999,145.628700000000009,-17.673100000000002,145.607200000000006,134.300999999999988,1166.930000000000064,686.832999999999970,29.159300000000002,7.681700000000000,2405.205599999999777,1641.344399999999951,0.682400000000000,0.000000000000000,4.541500000000000,0.475800000000000,38.736699999999999,130.000000000000000,163.936000000000007,51.554000000000002,1
12,13,9,7.285000002000000,"4 overlapping catchments, 3 subcatchments of 116006B. Need to remove overlapping areas for CC Forest cover analysis.Need to add upper catchment no stream flow catchments only to 116006B",116006B,7486.699999999999818,70.000000000000000,116006B,Herbert River at Abergowrie,QLD,HQSRS,7486.699999999999818,-18.491299999999999,145.922212999999999,70.000000000000000,116006B,58,58.000000000000000,116006B,7.284999998750000,0.638700000014000,116006, Abergowrie,Herbert River,QLD, ,0,0,0,0,0,116006B,1969-09-15,-18.489999999999998,145.919999999999987,-17.993800000000000,145.363300000000010,19.435800000000000,1379.569999999999936,660.583999999999946,35.607999999999997,3.419500000000000,1097.748199999999997,1810.929300000000012,1.649700000000000,1.073200000000000,0.740900000000000,0.436500000000000,47.736899999999999,98.066400000000002,167.633999999999986,94.795199999999994,0
13,14,10,1.010000002000000,"4 overlapping catchments, 3 subcatchments of 116006B. Need to remove overlapping areas for CC Forest cover analysis",116010A,223.699999999999989,71.000000000000000,116010A,Blencoe Creek at Blencoe Falls,QLD,HQSRS,223.699999999999989,-18.204400000000000,145.536900000000003,71.000000000000000,116010A,59,59.000000000000000,116010A,1.009999996900000,0.019099999992000,116010, Blencoe Falls,Blencoe Creek,QLD, ,0,0,0,0,0,116010A,1960-10-01,-18.204200000000000,145.537100000000009,-18.124800000000000,145.611199999999997,545.735000000000014,1028.450000000000045,674.455000000000041,22.180499999999999,4.348600000000000,1429.801099999999906,1754.224200000000110,1.226900000000000,0.000000000000000,0.000000000000000,0.618200000000000,44.005800000000001,87.820800000000006,100.299999999999997,46.142099999999999,-1
14,15,11,0.560000000000000,"4 overlapping catchments, 3 subcatchments of 116006B. Need to remove overlapping areas for CC Forest cover analysis",116011A,90.099999999999994,72.000000000000000,116011A,Millstream River at Ravenshoe,QLD,HQSRS,90.099999999999994,-17.605100000000000,145.477450000000005,72.000000000000000,116011A,60,60.000000000000000,116011A,0.560000004997000,0.007668749993630,116011, Ravenshoe,Millstream River,QLD, ,0,0,0,0,0,116011A,1960-07-18,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
15,16,12,1.424999999000000,"4 overlapping catchments, 3 subcatchments of 116006B. Need to remove overlapping areas for CC Forest cover analysis",116014A,587.600000000000023,75.000000000000000,116014A,Wild River at Silver Valley,QLD,HQSRS,587.600000000000023,-17.626600000000000,145.298750000000013,75.000000000000000,116014A,63,63.000000000000000,116014A,1.425000005250000,0.049993749991500,116014, Silver Valley,Wild River,QLD, ,0,0,0,0,0,116014A,1961-12-01,-17.626600000000000,145.295899999999989,-17.487900000000000,145.357400000000013,638.240000000000009,1234.450000000000045,892.172000000000025,21.010800000000000,4.504500000000000,1210.682700000000068,1778.860500000000002,1.469300000000000,4.137800000000000,0.750800000000000,0.367000000000000,52.809300000000000,86.599999999999994,166.735000000000014,133.372000000000014,1
16,17,13,0.645000001000000, ,138009A,101.799999999999997,91.000000000000000,138009A,Tinana Creek at Tagigan Road,QLD,HQSRS,101.799999999999997,-26.078800000000001,152.783819700000009,91.000000000000000,138009A,74,74.000000000000000,138009A,0.644999998351000,0.009193749993380,138009, Tagigan Road,Tinana Creek,QLD, ,0,0,0,0,0,138009A,1974-07-12,-26.079999999999998,152.780000000000001,-26.148199999999999,152.800600000000003,71.739500000000007,381.180999999999983,148.525000000000006,19.308299999999999,4.232500000000000,1274.529399999999896,1595.262500000000045,1.251600000000000,3.299600000000000,6.137100000000000,0.720000000000000,41.112499999999997,62.193399999999997,111.813000000000002,54.732700000000001,0
17,18,14,0.705000000000000, ,143303A,101.700000000000003,97.000000000000000,143303A,Stanley River at Peachester,QLD,HQSRS,101.700000000000003,-26.838799999999999,152.840300000000013,97.000000000000000,143303A,79,79.000000000000000,143303A,0.705000002548000,0.009231250043590,143303, Peachester,Stanley River,QLD, ,0,0,0,0,0,143303A,1927-07-01,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
18,19,15,1.820000000000000, ,308145,775.299999999999955,152.000000000000000,308145,Franklin River at Mt Fincham Track,TAS,HQSRS,775.299999999999955,-42.241300000000003,145.767641999999995,152.000000000000000,308145,119,119.000000000000000,145,1.819999996000000,0.084481250008100,308145, Mt Fincham Track,Franklin River,TAS, ,0,0,0,0,0,145,1953-04-10,-42.243299999999998,145.768300000000011,-42.176800000000000,145.944700000000012,225.032999999999987,1415.849999999999909,665.908999999999992,44.141399999999997,11.005000000000001,2404.525099999999838,928.847999999999956,0.386300000000000,0.000000000000000,0.000000000000000,0.529900000000000,64.853099999999998,87.895099999999999,252.024000000000001,90.548599999999993,-1
19,20,16,0.535000000000000, ,145011A,85.099999999999994,99.000000000000000,145011A,Teviot Brook at Croftby,QLD,HQSRS,85.099999999999994,-28.148000000000000,152.571249999999992,99.000000000000000,145011A,81,81.000000000000000,145011A,0.535000001449000,0.007818749996630,145011, Croftby,Teviot Brook,QLD, ,0,0,0,0,0,145011A,1966-02-07,-28.148000000000000,152.569899999999990,-28.206000000000000,152.533700000000010,169.598000000000013,1326.509999999999991,426.322999999999979,33.774799999999999,6.874000000000000,978.695600000000013,1476.142299999999977,1.508300000000000,1.331200000000000,1.531000000000000,0.599400000000000,34.996400000000001,93.876800000000003,176.508000000000010,40.902799999999999,0
20,21,17,0.514999994000000, ,145018A,82.400000000000006,100.000000000000000,145018A,Burnett Creek at Up Stream Maroon Dam,QLD,HQSRS,82.400000000000006,-28.219100000000001,152.608387999999991,100.000000000000000,145018A,82,82.000000000000000,145018A,0.514999991057000,0.007574999987260,145018, Up Stream Maroon Dam,Burnett Creek,QLD, ,0,0,0,0,0,145018A,1970-05-05,-28.219999999999999,152.610000000000014,-28.270600000000002,152.578100000000006,231.718999999999994,1222.700000000000045,539.197999999999979,30.371800000000000,9.377100000000000,1023.764499999999998,1456.628099999999904,1.422800000000000,0.117900000000000,0.000000000000000,0.742900000000000,35.524600000000000,116.733999999999995,202.581999999999994,51.187199999999997,-1
21,22,18,1.334999999000000, ,204034,398.899999999999977,6.000000000000000,204034,Henry River at Newton Boyd,NSW,HQSRS,398.899999999999977,-29.763500000000001,152.213999999999999,6.000000000000000,204034,5,5.000000000000000,204034,1.335000002550000,0.037243750031200,204034, Newton Boyd,Henry River,NSW, ,0,0,0,0,0,204034,1971-08-16,-29.763900000000000,152.211800000000011,-29.871500000000001,152.049299999999988,328.980000000000018,1339.990000000000009,946.144000000000005,29.959599999999998,7.133600000000000,893.140599999999949,1362.181900000000041,1.525200000000000,0.000000000000000,0.193700000000000,0.708200000000000,38.802100000000003,94.221999999999994,145.091000000000008,45.967700000000001,1
22,23,19,1.354999998000000, ,206014,377.399999999999977,7.000000000000000,206014,Wollomombi River at Coninside,NSW,HQSRS,377.399999999999977,-30.476400000000002,152.028856999999988,7.000000000000000,206014,6,6.000000000000000,206014,1.354999994050000,0.035412500028000,206014, Coninside,Wollomombi River,NSW, ,0,0,0,0,0,206014,1954-06-23,-30.477599999999999,152.026199999999989,-30.350100000000001,151.934699999999992,908.461000000000013,1471.589999999999918,1171.049999999999955,18.533300000000001,3.151000000000000,793.190299999999979,1277.099600000000009,1.610100000000000,0.000000000000000,0.288100000000000,0.516800000000000,35.925199999999997,134.668000000000006,200.746000000000009,85.453000000000003,-1
23,24,20,1.995000001000000, ,206018,851.899999999999977,8.000000000000000,206018,Apsley River at Apsley Falls,NSW,HQSRS,851.899999999999977,-31.051300000000001,151.766250000000014,8.000000000000000,206018,7,7.000000000000000,206018,1.995000001950000,0.080456249992500,206018, Apsley Falls,Apsley River,NSW, ,0,0,0,0,0,206018,1952-12-10,-31.052000000000000,151.768000000000001,-30.999600000000001,151.633399999999995,898.894000000000005,1329.940000000000055,1127.319999999999936,11.462400000000001,2.123600000000000,812.526899999999955,1253.220499999999902,1.542400000000000,0.000000000000000,1.163500000000000,0.562100000000000,45.295499999999997,51.546199999999999,71.206100000000006,20.056200000000000,1
24,25,21,0.840000001000000, ,208007,221.099999999999994,9.000000000000000,208007,Nowendoc River at Nowendoc,NSW,HQSRS,221.099999999999994,-31.516300000000001,151.716250000000002,9.000000000000000,208007,8,8.000000000000000,208007,0.840000002099000,0.020975000028400,208007, Nowendoc,Nowendoc River,NSW, ,0,0,0,0,0,208007,1946-07-15,-31.518300000000000,151.714699999999993,-31.429500000000001,151.655399999999986,836.078999999999951,1435.920000000000073,1015.929999999999950,21.470800000000001,4.642800000000000,994.090000000000032,1234.149899999999889,1.241500000000000,0.000000000000000,0.853600000000000,0.771400000000000,37.617600000000003,147.814999999999998,269.411999999999978,90.389700000000005,0
25,26,22,0.739999999000000, ,208009,152.099999999999994,10.000000000000000,208009,Barnard River at Barry,NSW,HQSRS,152.099999999999994,-31.579999999999998,151.314950000000010,10.000000000000000,208009,9,9.000000000000000,208009,0.739999996003000,0.014450000004700,208009, Barry,Barnard River,NSW, ,0,0,0,0,0,208009,1949-02-16,-31.581099999999999,151.314300000000003,-31.589400000000001,151.233399999999989,596.374000000000024,1409.890000000000100,1008.940000000000055,27.627099999999999,9.527100000000001,937.302000000000021,1288.307700000000068,1.374500000000000,0.000000000000000,0.000000000000000,0.694900000000000,26.147400000000001,82.423100000000005,139.820999999999998,54.123899999999999,0
26,27,23,1.069999999000000, ,210011,196.400000000000006,12.000000000000000,210011,William River at Tillegra,NSW,HQSRS,196.400000000000006,-32.319499999999998,151.688050000000004,12.000000000000000,210011,11,11.000000000000000,210011,1.070000002000000,0.018787500010100,210011, Tillegra,William River,NSW, ,0,0,0,0,0,210011,1931-02-19,-32.319499999999998,151.688099999999991,-32.225600000000000,151.583100000000002,92.233599999999996,1507.480000000000018,365.607000000000028,34.145699999999998,7.781700000000000,1173.310199999999895,1287.576999999999998,1.097400000000000,1.201900000000000,0.066200000000000,0.751600000000000,46.908900000000003,122.000000000000000,73.549400000000006,27.366199999999999,-1
27,28,24,0.470000001000000, ,211008,64.200000000000003,13.000000000000000,211008,Jigadee Creek at Avondale,NSW,HQSRS,64.200000000000003,-33.072200000000002,151.470349999999996,13.000000000000000,211008,12,12.000000000000000,211008,0.470000004996000,0.006200000014110,211008, Avondale,Jigadee Creek,NSW, ,0,0,0,0,0,211008,1969-12-18,-33.073599999999999,151.469099999999997,-33.017099999999999,151.479999999999990,10.304900000000000,483.966999999999985,69.875500000000002,28.683499999999999,3.389000000000000,1060.001800000000003,1306.541999999999916,1.232600000000000,0.000000000000000,7.256000000000000,0.794500000000000,52.743800000000000,33.837499999999999,112.000000000000000,11.579400000000000,1
28,29,25,3.070000002000000, ,215002,1382.200000000000045,17.000000000000000,215002,Shoalhaven River at Warri,NSW,HQSRS,1382.200000000000045,-35.340699999999998,149.739299999999986,17.000000000000000,215002,15,15.000000000000000,215002,3.070000002500000,0.137543749955000,215002, Warri,Shoalhaven River,NSW, ,0,0,0,0,0,215002,1914-09-01,-35.341400000000000,149.737200000000001,-35.638800000000003,149.652600000000007,585.735999999999990,1468.640000000000100,831.288000000000011,25.769100000000002,4.411100000000000,798.556600000000003,1169.718299999999999,1.464800000000000,0.190700000000000,0.903000000000000,0.599700000000000,44.955800000000004,61.166400000000003,112.769999999999996,39.808700000000002,-1
29,30,26,0.805000000000000, ,215004,165.599999999999994,18.000000000000000,215004,Corang River at Hockeys,NSW,HQSRS,165.599999999999994,-35.147100000000002,150.032900000000012,18.000000000000000,215004,16,16.000000000000000,215004,0.805000000550000,0.016393750010200,215004, Hockeys,Corang River,NSW, ,0,0,0,0,0,215004,1924-09-07,-35.148899999999998,150.031900000000007,-35.236300000000000,150.061299999999989,517.197999999999979,914.883000000000038,641.042000000000030,16.636299999999999,3.127900000000000,879.099399999999946,1214.987300000000005,1.382100000000000,0.000000000000000,0.409700000000000,0.597800000000000,51.914099999999998,60.507800000000003,93.066400000000002,67.096999999999994,1
30,31,27,2.040000001000000, ,216002,859.000000000000000,19.000000000000000,216002,Clyde River at Brooman,NSW,HQSRS,859.000000000000000,-35.468100000000000,150.236250000000013,19.000000000000000,216002,17,17.000000000000000,216002,2.039999997900000,0.085193750037000,216002, Brooman,Clyde River,NSW, ,0,0,0,0,0,216002,1960-07-08,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.804800000000000,39.781799999999997,205.000000000000000,199.231999999999999,46.091099999999997,1
31,32,28,0.585000000000000, ,216004,95.700000000000003,20.000000000000000,216004,Currambene Creek at Falls Creek,NSW,HQSRS,95.700000000000003,-34.970500000000001,150.598000000000013,20.000000000000000,216004,18,18.000000000000000,216004,0.585000001349000,0.009450000020230,216004, Falls Creek,Currambene Creek,NSW, ,0,0,0,0,0,216004,1970-04-09,-34.969999999999999,150.598899999999986,-34.990699999999997,150.534600000000012,16.330400000000001,305.951000000000022,108.832999999999998,5.872900000000000,1.853400000000000,1103.405799999999999,1273.656899999999951,1.154300000000000,0.091400000000000,5.371000000000000,0.725700000000000,52.391900000000000,46.175699999999999,251.216000000000008,25.048600000000000,-1
32,33,29,0.654999994000000, ,218001,90.599999999999994,21.000000000000000,218001,Tuross River at Tuross Vale,NSW,HQSRS,90.599999999999994,-36.264699999999998,149.510349999999988,21.000000000000000,218001,19,19.000000000000000,218001,0.654999991856000,0.009093750015360,218001, Tuross Vale,Tuross River,NSW, ,0,0,0,0,0,218001,1948-06-24,-36.266100000000002,149.509199999999993,-36.340699999999998,149.517599999999987,936.611999999999966,1303.049999999999955,1055.259999999999991,15.858900000000000,4.478300000000000,816.638100000000009,1088.700900000000047,1.333200000000000,0.000000000000000,0.250400000000000,0.642400000000000,58.794100000000000,112.102999999999994,262.500000000000000,133.336000000000013,1
33,34,30,0.209999997000000, ,219001,14.400000000000000,22.000000000000000,219001,Rutherford Creek at Brown Mountain,NSW,HQSRS,14.400000000000000,-36.593200000000003,149.441849999999988,22.000000000000000,219001,20,20.000000000000000,219001,0.209999995803000,0.001449999973520,219001, Brown Mountain,Rutherford Creek,NSW, ,0,0,0,0,0,219001,1924-04-02,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
34,35,31,0.950000002000000, ,302214,229.900000000000006,159.000000000000000,302214,Ansons River at Downstream of Big Boggy Creek,TAS,HQSRS,229.900000000000006,-41.047100000000000,148.216250000000002,159.000000000000000,302214,125,125.000000000000000,2214,0.949999999899000,0.024650000017500,302214, Downstream of Big Boggy Cr,Ansons River,TAS, ,0,0,0,0,0,2214,1979-05-23,-41.048299999999998,148.216700000000003,-41.117600000000003,148.158500000000004,16.122000000000000,461.654999999999973,108.051000000000002,14.977600000000001,2.257000000000000,965.148199999999974,1063.815599999999904,1.102200000000000,0.000000000000000,0.000000000000000,0.674900000000000,55.125000000000000,64.305599999999998,136.787000000000006,24.891200000000001,1
35,36,32,1.165000002000000, ,222213,361.399999999999977,167.000000000000000,222213,Suggan Buggan River at Suggan Buggan,VIC,HQSRS,361.399999999999977,-36.954200000000000,148.326738100000000,167.000000000000000,222213,132,132.000000000000000,222213,1.164999998750000,0.036518750023100,222213, Suggan Buggan,Suggan Buggan River,VIC, ,0,0,0,0,0,222213A,1957-07-24,-36.956000000000003,148.330000000000013,-36.848700000000001,148.253600000000006,370.437999999999988,1828.119999999999891,1064.759999999999991,33.318100000000001,8.988500000000000,968.206800000000044,1185.311400000000049,1.224200000000000,0.000000000000000,0.047600000000000,0.553800000000000,55.306600000000003,117.159000000000006,218.316000000000003,88.998999999999995,-1
36,37,33,0.179999998000000, ,225020A,9.600000000000000,172.000000000000000,225020A,South Cascade Creek at Thomson Valley Road,VIC,HQSRS,9.600000000000000,-37.833199999999998,146.354270600000007,172.000000000000000,225020A,137,137.000000000000000,225020A,0.179999998201000,0.000981249981014,225020, Thomson Valley Road,South Cascade Creek,VIC, ,0,0,0,0,0,225020A,1962-01-12,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0
37,38,34,0.755000004000000, ,225110A,132.099999999999994,173.000000000000000,225110A,Jordan River at D/S Johnsons Creek,VIC,HQSRS,132.099999999999994,-37.683500000000002,146.318524700000012,173.000000000000000,225110A,138,138.000000000000000,225110A,0.755000007844000,0.013487500000500,225110, D/S Johnsons Creek,Jordan River,VIC, ,0,0,0,0,0,225110A,1978-04-19,-37.683500000000002,146.318500000000000,-37.636899999999997,146.269100000000009,460.516999999999996,1319.509999999999991,821.620999999999981,26.318200000000001,10.224000000000000,1301.512600000000020,1170.469200000000001,0.899300000000000,0.000000000000000,2.978200000000000,0.756300000000000,47.846200000000003,8.000000000000000,214.663000000000011,89.659800000000004,-1
