station_id,WoodyCover_mean,WoodyCover_stdev,WoodyCover_min,WoodyCover_max
410730,97.88376688957214,14.392510056495667,0,100
410731,86.54311895370483,34.126242995262146,0,100
410734,89.52605724334717,30.621734261512756,0,100
410705,65.7427191734314,47.457000613212585,0,100
410761,70.41925191879272,45.64049243927002,0,100
410033,76.85311436653137,42.17713177204132,0,100
410047,61.769187450408936,48.59512448310852,0,100
410061,76.35487914085388,42.490240931510925,0,100
410088,99.94851350784302,2.2684283554553986,0,100
410156,30.7254821062088,46.135592460632324,0,100
412029,10.08530855178833,30.113407969474792,0,100
412066,69.30933594703674,46.121034026145935,0,100
416003,84.9877655506134,35.7191264629364,0,100
422202B,85.40264368057251,35.30796766281128,0,100
422306A,98.8323986530304,10.742282122373581,0,100
422319B,67.04005002975464,47.006770968437195,0,100
422321B,99.22745823860168,8.755433559417725,0,100
422334A,33.46345126628876,47.18625545501709,0,100
422338A,82.26010799407959,38.20059299468994,0,100
422394A,90.25591015815735,29.65571880340576,0,100
A4260533,36.677876114845276,48.19253981113434,0,100
401203,72.66460061073303,44.56810653209686,0,100
401208,98.08285236358643,13.712736964225769,0,100
401210,98.65146279335022,11.534103006124496,0,100
401212,100,0,100,100
401216,86.1337959766388,34.55935716629028,0,100
401217,99.21425580978394,8.82934108376503,0,100
401220,82.52056241035461,37.97910809516907,0,100
402204,66.04111194610596,47.356972098350525,0,100
402206,95.2928364276886,21.17920070886612,0,100
403214,67.52337217330933,46.8287467956543,0,100
403217,96.25568389892578,18.984512984752655,0,100
403221,72.34790921211243,44.72774267196655,0,100
403226,87.05151677131653,33.57357680797577,0,100
403232,100,0,100,100
404207,82.76184797286987,37.77116537094116,0,100
405205,94.82116103172302,22.15994894504547,0,100
405209,94.43577527999878,22.922955453395844,0,100
405212,63.84841799736023,48.04395139217377,0,100
405214,75.73620080947876,42.86779761314392,0,100
405215,100,0,100,100
405217,93.6141312122345,24.450108408927917,0,100
405219,100,0,100,100
405226,25.46459436416626,43.56620013713837,0,100
405227,100,0,100,100
405228,76.47149562835693,42.4176812171936,0,100
405229,56.0242235660553,49.63575899600983,0,100
405230,48.016518354415894,49.96064305305481,0,100
405231,89.80141282081604,30.26297390460968,0,100
405238,41.84848964214325,49.33105409145355,0,100
405240,38.402992486953735,48.6365020275116,0,100
405241,99.84492659568787,3.9348769932985306,0,100
405245,36.60497069358826,48.172327876091,0,100
405248,74.87615942955017,43.372535705566406,0,100
405251,92.56688952445984,26.230880618095398,0,100
405264,100,0,100,100
405274,71.81671857833862,44.98923122882843,0,100
406214,77.51336097717285,41.74942970275879,0,100
406224,13.242098689079285,33.89478921890259,0,100
406226,64.91652727127075,47.723132371902466,0,100
406235,29.986289143562317,45.81977128982544,0,100
406250,91.3938820362091,28.04543375968933,0,100
407214,52.859485149383545,49.91816580295563,0,100
407253,58.01922082901001,49.35273230075836,0,100
408202,56.26816749572754,49.60554540157318,0,100
408206,50.11302828788757,49.99987185001373,0,100
415237,40.724435448646545,49.13210570812225,0,100
415238,50.00443458557129,50,0,100
415245,55.96336126327515,49.64310824871063,0,100
