Station_Nu,WoodyCover_mean
"215207",0.863745272159576
"216002",1
"218001",0.994000792503357
"219001",1
"302214",0.996419370174408
"222213",0.868977069854736
225020A,1
225110A,1
229661A,1
"231213",0.995494186878204
"401203",0.726629495620728
"401210",0.987120091915131
"401217",0.992139399051666
"405205",0.947587072849274
"405209",0.944327831268311
"405215",1
"405264",1
"408202",0.565311193466187
"410061",0.765799760818481
"410730",0.979949653148651
"410731",0.865654110908508
"410734",0.895177245140076
"412066",0.693236410617828
"307473",0.866425335407257
"304499",0.995226442813873
"305202",1
"314207",0.972486793994904
"314213",0.996137201786041
"212209",1
"212260",0.961104512214661
"221207",1
"221210",0.999689638614655
"222206",0.873346269130707
"223202",0.83444607257843
"224206",0.989947915077209
"225219",0.997337162494659
"226220",1
"226222",1
"226407",0.998145580291748
"227226",0.989565551280975
"230210",1
"235205",1
"236213",0.439654320478439
"238208",0.702457189559937
"401208",0.980543255805969
"401212",1
"401216",0.86131626367569
"402204",0.661318480968475
"402206",0.953318238258362
"402213",0.535153448581696
"403214",0.675548315048218
"403217",0.962479829788208
"403221",0.722795605659485
"403222",0.993698298931122
"403226",0.871229887008667
"403232",1
"404207",0.827830612659454
"405217",0.936072051525116
"405218",0.999403953552246
"405219",1
"405226",0.25582367181778
"405227",1
"405238",0.417532235383987
"405245",0.364668309688568
"405248",0.748392105102539
"405251",0.925997197628021
"405274",0.719391286373138
"406208",0.99985671043396
"406213",0.565346419811249
"406214",0.773962140083313
"406224",0.130798310041428
"407214",0.52946937084198
"407215",0.87079131603241
"407230",0.576903700828552
"407253",0.581212401390076
"408200",0.376428723335266
"415207",0.713787615299225
"415237",0.406749814748764
"416003",0.850574731826782
"318076",0.976276218891144
